Classname,Code,Credits,Length,Prereq
Intro to Entrepreneurship,B04,5,1,N/A
Principles of Marketing,B105,5,1,N/A
HSB Principles of Business,B33,10,2,N/A
HSB Principles of Marketing A,B35,10,2,N/A
HSB Principles of Finance,B37,5,1,N/A
HSB Principles of Management,B38,5,1,N/A
HSB Business Strategies,B39,5,1,N/A
Business Marketing Essentials,B41,5,1,N/A
Legal Environments of Business,B44,5,1,N/A
Strategic Marketing,B82,5,1,N/A
HSB Economics,B87,5,1,N/A
HSB Principles of Marketing B,B88,5,1,B35
HSB Business Marketing Internship,B89,5,1,N/A
Entrepreneurial Operations,B92,5,1,N/A
Marketing For The Entrepreneur,B96,5,1,N/A
AP Macroeconomics,T75,5,1,N/A
AP Microeconomics,T77,5,1,N/A
Coding 1 A,D77,5,1,N/A
AP Computer Science A,D78,10,2,N/A
Cybersecurity,D79,5,1,N/A
Web Designing Foundations,D87,5,1,N/A
AP Computer Science Principles,D93/D94,10,2,N/A
Culinary Essentials 1, H20,5,1,N/A
Culinary Essentials 2,H21,5,1,N/A
Culinary Nutrition,H25,5,1,N/A
Interpersonal Relationships,H50,5,1,N/A
Life Management,H54,5,1,N/A
Teen Choices,H74,5,1,N/A
Issues in Health,G50,5,1,N/A
Wilderness First Aid,V132,5,1,N/A
9th Grade English Language Arts,L08,10,2,N/A
Senior Literature Composition and Communication,L100,10,2,N/A
9th Grade English Language Arts Advanced,L11,10,2,N/A
10th Grade ENglish Language Arts Advanced,L16,10,2,N/A
Creative Writing,L19,5,1,N/A
11th Grade English Language Arts,L20,10,2,N/A
10th Grade English Language Arts,L27,10,2,N/A
Public Speaking,L34,5,1,N/A
Theatre 1,L35,5,1,N/A
Theatre 2,L36,5,1,L35
Video and Film Production,L46,5,1,N/A
Video and Film Production 2,L48,5,1,L46
Reading Workshop,L50,5,1,N/A
Philosophy through Film and Literature,L60,5,1,N/A
Broadcast Journalism 1,L61,10,2,N/A
Broadcast Journalism 2,L62,10,2,L61
Broadcast Journalism 3,L63,10,2,L62
AP English Language and Composition,L77,10,2,N/A
Mythology,L80,5,1,N/A
AP Literature and Composition,L88,10,2,N/A
Yearbook 1,LE7,10,2,N/A
Yearbook 2,LE11,10,2,LE7
Yearbook 3,LE12,10,2,LE11
Newspaper 1,LE2,10,2,N/A
Newspaper 2,LE4,10,2,LE2
Newspaper 3,LE6,10,2,LE4
Music Theory 1,N31,10,2,N/A
AP Music Theory,N33,10,2,N/A
Guitar 1,N41,5,1,N/A
Guitar 2,N42,5,1,N41
Soprano/Alto/Tenor/Bass Choir,N54,10,2,N/A
Soprano/Alto Choir,N56,10,2,N/A
Concert Choir,N60,5,2,Recommendation
Select Soprano/Alto Choir,N62,10,2,Recommendation
Select Soprano/Alto/Tenor/Bass Choir,N64,10,2,Audition or Instructor's Consent
Soprano/Alto Show/Jazz Choir,N67,10,2,Recommendation
Show Choir,N68,10,2,Recommendation
Band Level 1,N71,10,2,At least 3 years of study of a band instrument or appropriate experience or permission of instructor
