Classname,Code,Credits,Length,Prereq
Intro to Entrepreneurship,B04,5,1,N/A
Principles of Marketing,B105,5,1,N/A
HSB Principles of Business,B33,10,2,N/A
HSB Principles of Marketing A,B35,10,2,N/A
HSB Principles of Finance,B37,5,1,N/A
HSB Principles of Management,B38,5,1,N/A
HSB Business Strategies,B39,5,1,N/A
Business Marketing Essentials,B41,5,1,N/A
Legal Environments of Business,B44,5,1,N/A
Strategic Marketing,B82,5,1,N/A
HSB Economics,B87,5,1,N/A
HSB Principles of Marketing B,B88,5,1,B35
HSB Business Marketing Internship,B89,5,1,N/A
Entrepreneurial Operations,B92,5,1,N/A
Marketing For The Entrepreneur,B96,5,1,N/A
AP Macroeconomics,T75,5,1,N/A
AP Microeconomics,T77,5,1,N/A
