Classname,Code,Credits,Length,Prereq
Understanding Diversity,C72,5,1,N/A
US History,T21,10,2,N/A
US Government,T37,5,1,N/A
AP US History,T38,10,2,N/A
World History,T41,10,2,N/A
AP World History,T54,10,2,N/A
World Geography,T60,5,1,N/A
Current World Affairs,T66,5,1,N/A
AP Human Geography,T68,5,1,N/A
Economics,T74,5,1,N/A
Psychology,T80,5,1,N/A
AP Psychology,T81,5,1,N/A
Sociology,T84,5,1,N/A
AP European History,T85,10,2,N/A
AP US Government and Politics,T87,5,1,N/A
Principles of Criminal Law,V105,5,1,N/A
