Classname,Code,Credits,Length,Prereq
American Sign Language 1,F98,10,2,N/A
American Sign Language 2,F99,10,2,F98
American Sign Language 3,F104,10,2,F99
American Sign Language 4,F105,10,2,F104
French 1,F11,10,2,N/A
French 2,F12,10,2,F11
French 3,F13,10,2,F12
French 4,F19,10,2,F13
AP French,F26,10,2,N/A
German 1,F31,10,2,N/A
German 2,F32,10,2,F31
German 3,F33,10,2,F32
German 4,F39,10,2,F33
AP German,F46,10,2,N/A
German 3 Advanced,F47,10,2,F31
Spanish 1,F71,10,2,N/A
Spanish 2,F72,10,2,F71
Spanish 3,F73,10,2,F72
Spanish 4,F79,10,2,F73
AP Spanish 5,F85,10,2,F79
Spanish Conversation and Composition,F88,10,2,N/A
